name,mean_sample_entropy,std_sample_entropy,label_mean,label_median,label_standard_deviation,label_minimum,label_maximum,label_root_mean_square,number_examples,number_dimensions
HouseholdPowerConsumption2-no-missing,0.18570473174689006,0.2718552327722492,177.05789937106917,171.058,50.10748132802219,2.8600000000000003,417.834,184.01157413253588,1431,5
IEEEPPG,0.46549218177233337,0.24629218811794223,127.13107107507408,134.6357,29.242858775267166,59.055,176.7418,130.45096405180666,3096,5
TetuanEnergyConsumption,0.4176417178200835,0.6422460674601382,26693.739822953787,26371.440576128472,2240.424807113973,21896.029474892362,33198.929062083334,26787.595059129148,364,5
NewsHeadlineSentiment,0.07105747926761057,0.11854361301867002,-0.027529731934651695,-0.0260643017571343,0.14172963804248567,-0.755433425137583,0.964646239710943,0.14437858719369637,83164,3
MethaneMonitoringHomeActivity,0.15266042139270122,0.08504834474634243,12.374011114850797,12.442259000000004,0.5828383423701647,7.261170299999999,13.420196999999998,12.387729880966402,2882,1
VentilatorPressure,0.09590391246114739,0.06877324694076077,11.220408111543685,10.964275662099059,3.1443899385437555,-1.7393220209356979,26.88331772270883,11.652671207719305,75450,2
Covid19Andalusia,1.1008476029651586,0.56499582264629,0.02313899792870394,0.010668579661714674,0.03233048608144174,0.0004610773841543072,0.16923076923076924,0.03975768548855508,204,1
PhosphorusConcentration,0.0066644755399878665,0.0012167355068513637,12.465415480427046,5.21,27.582301508458873,0.001,396.0,30.268299251910452,2248,1
BinanceCoinSentiment,inf,inf,0.3414399239543726,0.3914,0.3486313699773926,-0.818,0.997,0.4879805875260627,263,2
MagnesiumConcentration,0.006669234065195777,0.0012399529144947504,327.2119950650516,157.0,452.43276924273613,0.001,4740.0,558.3575023218567,2229,1
Covid3Month,0.07849446207747339,0.036765070532205,0.03778606036250496,0.02373339301987242,0.04161979397945281,0.0,0.18181818181818182,0.05621382044133778,201,1
LPGasMonitoringHomeActivity,0.1247969129473995,0.06936011369082201,9.34830655943789,9.688013399999997,1.3043437151715758,2.779983299999999,11.372553999999994,9.438863705793038,2882,1
NewsTitleSentiment,0.07105747926761057,0.11854361301867002,-0.005399292449947676,0.0,0.13664924072679183,-0.9506944444444441,0.962353560852284,0.136755867699228,83164,3
AppliancesEnergy,0.2008373985933854,0.10846624182664279,14.062043795620438,13.21,4.0509644050794416,5.34,26.28,14.633912269832967,137,24
BenzeneConcentration-no-missing,0.9007865051293908,0.3165559928604817,10.14410903920144,8.313749266595785,7.4806121534001155,0.14904773883376646,63.74147644829163,12.604067057454348,8512,8
BIDMC32HR,0.2522473722293969,0.1437240826522082,89.18473659556632,88.71875,13.201944175308244,56.03125,128.25,90.15657808295799,7949,2
ManganeseConcentration,0.0426218043419777,0.008082187846131381,103.90748445171849,72.5,107.29513762988385,0.57,686.6,149.3620162025802,611,1
OccupancyDetectionLight,inf,inf,127.76770588235296,0.0,199.02249411529732,0.0,797.5105555555555,236.5048410293392,340,3
SteamPredictor,0.8306315357721883,0.45043710860096053,8793.298945564906,829.761908547684,31628.097418079433,61.24551273458445,199306.1813585836,32827.71165697657,300,4
WaveDataTension,0.4184873951370755,0.15328680340719011,2494.704856027942,2493.5593347543863,17.760403491543748,2435.8529888596495,2553.786055701755,2494.7680755175575,1893,1
CalciumConcentration,0.009387848500214792,0.002219290742285472,1755.4055606299212,627.0,3509.729548804792,0.001,34460.0,3924.238803646376,635,1
WindTurbinePower,0.3050642741426636,0.3318354351820693,1154.1690608537044,1033.6788134877052,882.5698940120998,-28.182713439895046,2768.9514668782554,1452.940411320592,852,1
PrecipitationAndalusia-no-missing,1.2251434212727519,0.35190346160015684,1.4798377549186013,1.4090478699382802,0.580686922156544,0.28767123287671237,5.333698630136988,1.5896908763801114,672,4
MetroInterstateTrafficVolume,inf,inf,3292.3887630422846,3502.8125,555.2700213652323,277.25,4055.5,3338.884329178543,1214,4
ParkingBirmingham-equal-length,inf,inf,0.4934287100230121,0.500750600268237,0.22409582109899623,0.05025252525252526,0.9517188103514873,0.5419324947897174,1988,1
DhakaHourlyAirQuality,inf,inf,153.61287072856223,147.04166666666669,63.04283724593765,18.708333333333332,374.7916666666667,166.0461182367349,2068,1
PotassiumConcentration,0.0066073908891519815,0.0012028602584768795,174.45775605381164,86.4,316.297766347928,0.001,5047.0,361.21985776535007,2230,1
BoronConcentration,0.028597381295448268,0.005779512988930494,0.4748784345047923,0.1121,2.4147005260175898,0.001,55.09,2.4609526931469747,626,1
BeijingPM25Quality-no-missing,inf,inf,142.53094424142404,118.0,106.56555973395832,3.0,999.0,177.9642902038602,16966,9
BeijingPM10Quality-no-missing,inf,inf,198.36072144288576,171.0,128.17254473063258,5.0,999.0,236.16768837855048,16966,9
SulphurConcentration,0.009603632332828634,0.002447586813101551,30.963070866141738,8.234,216.03067200093258,1.49,3940.0,218.23831699001948,635,1
SodiumConcentration,0.04289207054617107,0.009295622581249654,86.78161433278419,34.1,566.2610825578151,0.5399,12700.0,572.8722913579893,607,1
ZincConcentration,0.009453216338333924,0.00235874324231756,1.4650051886792455,1.081,1.5126292704011566,0.001,16.99,2.105774801001153,636,1
CopperConcentration,0.028746658414127206,0.004618514176373023,1.7155774244833066,1.02,2.1268983828049013,0.001,20.0,2.7325633808156917,629,1
SolarRadiationAndalusia-no-missing,1.1166335549643676,0.3611632848783607,18.055371925624975,18.056650684931505,0.7731082329930765,15.284572602739727,20.698030386740335,18.07191610517734,672,2
LiveFuelMoistureContent,0.16031409891583154,0.12210891739569242,117.23376174295423,111.5,41.43753888038865,7.0,456.0,124.34156393124336,5003,7
ChilledWaterPredictor,0.8968023969331113,0.49837054507263734,652.5024554051702,217.23707648809523,2582.1593589353124,0.0,29015.31894914747,2663.326192798584,459,4
FloodModeling1,0.19493794297963446,0.17466667128515972,0.44121693907875187,0.436,0.021026493119848173,0.405,0.675,0.44171767085202973,673,1
DailyTemperatureLatitude,0.866609862711462,0.36948967020121853,24.284643469387756,30.051650000000002,21.318758588301854,-41.3,64.15,32.31460004675242,39200,1
NaturalGasPricesSentiment,inf,inf,-0.2988402024171022,-0.3041475548194005,0.08789783330339725,-0.5199578351126266,-0.06869880430973492,0.31149878921133295,93,1
GasSensorArrayEthanol,0.016121374424921765,0.05486558922988199,0.2101293103448276,0.1,0.3218427285173992,0.0,1.0,0.38436580098327844,464,1
BeijingIntAirportPM25Quality,inf,inf,98.69791003607044,78.41666666666667,76.86932982026164,2.9583333333333335,493.9166666666667,125.10064473256891,1571,6
FloodModeling3,0.1960680010061904,0.1759199014931953,0.40209787928221863,0.39799999999999996,0.01952411514447353,0.368,0.499,0.4025716030663767,613,1
CardanoSentiment,inf,inf,0.18259439252336448,0.178,0.27894632044209217,-0.494,0.984,0.33339430389429103,107,2
BitcoinSentiment,inf,inf,0.22733644578313253,0.1876,0.24271992591619904,-0.733,0.988,0.33255799797640156,332,2
FloodModeling2,0.18637532138120527,0.17004873251214497,0.23214842578710648,0.23,0.013407258537071426,0.23,0.408,0.23253525792213003,667,1
ElectricMotorTemperature,inf,inf,58.84096154290737,60.59318627084579,19.102471269842468,21.13218688964844,113.60662841796876,61.86407005612435,22148,6
GasSensorArrayAcetone,0.012413575191911743,0.03654343853845432,0.19439655172413794,0.1,0.2948020633235689,0.0,1.0,0.3531264304212713,464,1
DailyOilGasPrices,inf,inf,4.473358987783595,3.901266666666666,2.1738877909958867,1.7484999999999997,12.725833333333334,4.973603197021777,191,2
IronConcentration,0.04212771412221953,0.007768089861615361,113.25430114566284,93.4,80.11683395034294,1.26,648.0,138.72722807805002,611,1
HotwaterPredictor,0.9395537307304702,0.5200721441199213,907.1796540180732,228.0884598214286,1427.4870296279043,7.127856666666666,9535.67500892857,1691.35866817782,351,4
BIDMC32SpO2,0.2522473722293969,0.1437240826522082,96.73359964373947,97.53125,3.2727432212026013,83.875,100.0,96.78894641552414,7949,2
ElectricityPredictor,0.9196961607117241,0.4874377205590548,262.40389894143163,158.77404673654596,467.15749138550206,0.06028102362801179,2625.106765873016,535.80960045268,810,4
SierraNevadaMountainsSnow,inf,inf,66.767056,18.14,99.89696434086905,0.0,603.5,120.15508000674794,500,3
